Claim Number,Airport Code,Item,Claim Amount
2007070927921,ORD,Luggage (all types including footlockers),80.0
2004122971627,DFW,Other,120.0
2010070273328,MCO,Other,0.0
2009072861845,LAX,Computer - Laptop,2500.0
2007071228267,JFK,Currency,420.0
2007050224854,JFK,Cameras - Digital; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Other,1967.71
2004071359210,,Jewelry - Fine,300.0
0105107M,OMA,Clothing - Shoes; belts; accessories; etc.,159.99
2007031922471,BOS,Computer - Laptop,1617.0
2012042393111,-,Other,0.0
2008100850908,SMF,Computer - Laptop,750.0
2009071561254,SEA,Other,112.0
2005042783443,LAS,Eyeglasses - (including contact lenses),125.0
2011061484301,PHX,Other,0.0
2004100564564,DTW,Jewelry - Fine,1087.0
2015061123047,FLL,Clothing,75.0
2005012874825,TPA,Other,257.0
2012013090491,SGF,Baggage/Cases/Purses,0.0
2008090849616,ORF,Clothing - Shoes; belts; accessories; etc.,51.49
2007112735531,SFO,,8.99
2008022740242,F,Jewelry - Fine,450.0
2004100564451,ORD,Locks,20.0
2008051944484,SAT,Locks,6.95
2009091863836,PDX,Luggage (all types including footlockers),75.0
2014092917154,MIA,Personal Electronics,0.0
2014082616239,ATL,Computer & Accessories,0.0
2010062272898,GEG,Household Items,0.0
2004091062582,PVD,Luggage (all types including footlockers),200.0
2005100594077,LAX,Other,45000.0
2011011279460,BWI,Clothing,0.0
2005120797221,FAR,Locks,21.8
0515011L,MCO,Currency,250.0
2009072261625,ONT,Locks,10.0
2008092450350,SWF,Computer - Laptop,1819.79
2004110866693,PHX,Other,38.0
2004061756144,ORD,Clothing - Shoes; belts; accessories; etc.,110.0
2011122289790,DFW,Audio/Video,0.0
2011030881004,JFK,Clothing,0.0
0520240L,RDU,Locks,250.0
2005081790688,MSY,Clothing - Shoes; belts; accessories; etc.,108.41
2009072161571,COS,Locks,21.65
2010012067665,MIA,Cameras; Cosmetics & Grooming,0.0
2007032322763,RNO,Luggage (all types including footlockers),20.0
2009051458642,MKE,Jewelry - Fine,958.12
2008101451089,CMH,Kitchen Utensils -Pots; Pans; Knives (heavy aluminum; cast iron; etc.),30.0
2011032381385,GJT,Cosmetics & Grooming,0.0
2011082686452,LAX,Jewelry & Watches,0.0
