Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,0.893000,0.895000,0.893000,0.895000,0.841405,110600
2017-01-23,0.900000,0.900000,0.900000,0.900000,0.846106,1600
2017-01-24,0.905000,0.905000,0.905000,0.905000,0.850806,5000
2017-01-25,null,null,null,null,null,null
2017-01-26,0.904000,0.904000,0.904000,0.904000,0.849866,4000
2017-01-27,0.902000,0.902000,0.902000,0.902000,0.847986,1700
2017-01-31,0.902000,0.902000,0.900000,0.900000,0.846106,2500
2017-02-01,null,null,null,null,null,null
2017-02-02,0.903000,0.903000,0.903000,0.903000,0.848926,100
2017-02-03,0.908000,0.911000,0.908000,0.910000,0.855507,268000
2017-02-06,null,null,null,null,null,null
2017-02-07,0.912000,0.918000,0.912000,0.912000,0.857387,149600
2017-02-08,0.918000,0.918000,0.918000,0.918000,0.863028,9100
2017-02-09,0.924000,0.924000,0.924000,0.924000,0.868668,11000
2017-02-10,null,null,null,null,null,null
2017-02-13,0.929000,0.929000,0.929000,0.929000,0.873369,85000
2017-02-14,0.930000,0.936000,0.930000,0.935000,0.879010,292000
2017-02-15,0.931000,0.931000,0.931000,0.931000,0.875249,2000
2017-02-16,0.935000,0.935000,0.931000,0.931000,0.875249,81500
2017-02-17,0.935000,0.936000,0.935000,0.936000,0.879950,42500
2017-02-20,0.935000,0.935000,0.935000,0.935000,0.879010,42300
2017-02-21,0.932000,0.934000,0.931000,0.931000,0.875249,34700
2017-02-22,0.938000,0.940000,0.938000,0.940000,0.883710,47600
2017-02-23,0.938000,0.940000,0.938000,0.940000,0.883710,36300
2017-02-24,null,null,null,null,null,null
2017-02-27,0.939000,0.941000,0.939000,0.940000,0.883710,105500
2017-02-28,0.941000,0.941000,0.937000,0.937000,0.880890,22200
2017-03-01,0.936000,0.936000,0.936000,0.936000,0.879950,25000
2017-03-02,0.928000,0.928000,0.928000,0.928000,0.872429,1900
2017-03-03,0.926000,0.926000,0.925000,0.925000,0.869609,5000
2017-03-06,0.926000,0.926000,0.926000,0.926000,0.870549,2000
2017-03-07,0.930000,0.930000,0.930000,0.930000,0.874309,1000
2017-03-08,0.923000,0.923000,0.923000,0.923000,0.867728,5200
2017-03-09,0.920000,0.920000,0.911000,0.911000,0.856447,5400
2017-03-10,0.907000,0.907000,0.907000,0.907000,0.852686,61000
2017-03-13,0.905000,0.905000,0.905000,0.905000,0.850806,9000
2017-03-14,0.906000,0.906000,0.904000,0.904000,0.849866,39400
2017-03-15,0.907000,0.908000,0.907000,0.908000,0.853626,107700
2017-03-16,0.930000,0.934000,0.930000,0.934000,0.878070,11200
2017-03-17,null,null,null,null,null,null
2017-03-20,1.310000,1.311000,1.309000,1.311000,1.232494,10400
2017-03-21,1.305000,1.305000,1.302000,1.304000,1.225913,48400
2017-03-22,1.303000,1.313000,1.299000,1.313000,1.234374,44900
2017-03-23,1.300000,1.302000,1.300000,1.302000,1.224033,1300
2017-03-24,1.308000,1.308000,1.308000,1.308000,1.229673,18000
2017-03-27,1.309000,1.309000,1.305000,1.305000,1.226853,4200
2017-03-28,0.941000,0.943000,0.941000,0.943000,0.886531,10200
2017-03-29,1.323000,1.330000,1.323000,1.330000,1.250356,9000
2017-03-30,1.335000,1.349000,1.334000,1.334000,1.254117,36400
2017-03-31,1.337000,1.337000,1.331000,1.331000,1.251296,56000
2017-04-03,1.330000,1.330000,1.330000,1.330000,1.250356,29700
2017-04-04,1.342000,1.342000,1.331000,1.338000,1.257877,88300
2017-04-05,1.317000,1.317000,1.314000,1.314000,1.253774,7500
2017-04-06,1.314000,1.314000,1.312000,1.313000,1.252820,18200
2017-04-07,1.317000,1.317000,1.317000,1.317000,1.256637,1800
2017-04-10,1.318000,1.318000,1.314000,1.314000,1.253774,25100
2017-04-11,1.321000,1.321000,1.320000,1.320000,1.259499,4300
2017-04-12,1.320000,1.327000,1.320000,1.327000,1.266178,3000
2017-04-13,1.337000,1.337000,1.337000,1.337000,1.275720,52000
2017-04-17,1.328000,1.328000,1.328000,1.328000,1.267132,53800
2017-04-18,1.336000,1.336000,1.329000,1.329000,1.268087,59000
2017-04-19,1.325000,1.325000,1.311000,1.317000,1.256637,16400
2017-04-20,1.323000,1.328000,1.323000,1.328000,1.267132,21000
2017-04-21,1.330000,1.330000,1.327000,1.327000,1.266178,8900
