Year Total 3/|HDB 1- & 2- Room Flats 4/|HDB 3-Room Flats|HDB 4-Room Flats|HDB 5-Room & Executive Flats|Condominiums & Other Apartments|Landed Properties
2003|1589|3314|1386|1651|1623||1407
2004|1674|||1730||1244|1513
2005|1855|3879|1565|1862||1370|1800
2006|2280|4769|2221|2383|2251|1456|1788
2007|2008|3850|1729|||1423|1748
2008|2865|5792||2866|2889|2206|2635
2009|2708|5711||2666|2770|2173|2416
2010||6559|2376|2561|2696|1790|2135
2011|3273||||3401|2456|2812
2012|2870|7204|2503|2773|3049|1976|2235
2013|3670|||3486|3769|2701|2771
2014|3526|9315|3385||3554|2177|2488
2015|4096|9474|3853||4233|2887|3093
2016|4248|||4127|4231|2711|2907
2017|4503|10424||4394|4425||
2018|4494|10347|4535|4397|||3152
