video_id,views
XAzqBDFs418,1375421
oRSVrtKph_k,1007920
aFuA50H9uek,3643003
GhHBfDK4lE8,248880
CPjWgk0UXps,1405034
8EK-QMtHhMI,1503192
a30K69hUJyo,1139752
dLRMA_lWsDY,1090128
rqTpMCq8uhk,606312
3gTyF-wLa-E,264956
76XBys_HXq4,33447
IJofEhiRpy0,1851779
3Q2j5ApzSqs,16374553
_bVPfM04vOY,1458959
sXP6vliZIHI,9816365
7HGCE6-LMBg,3026934
aC5lxLCyyhQ,1168313
uBUnmdd5-iA,557077
Pa3ao2TVn1A,140155
XPVxL-YUOwk,105240
w8UI8r9Ccwk,1026013
IvAvHjYoLUU,316010
07S_Glj3uYs,671804
IiRmtBZu0pM,706058
DCUD9kjYOAk,1565082
McRNSFGwqtY,1692774
qvZybtmE5RY,506678
HzILu6yyA20,3652424
2wbc8x-RHiY,252545
p8npDG2ulKQ,18574625
ic1kMoM_kPw,236245
g30Rhk82rmg,2944191
U0hAC8O7RoI,341074
beUCw1VH11U,37594
GEsK9GudV2M,567770
HCIqTAFRkko,373328
yawznhmT8x8,1146176
iMg9ibfcBnM,181887
WMs3NOW1TDs,1538339
aJ9XruZm_Hg,400698
5EF5Curjr8k,217025
w77zPAtVTuI,1612283
YpnV0M6XTc8,126681
iveV0Q77gvU,183721
R9OHn5ZF4Uo,1677991
V8-JfSXPDp0,1873379
9Tb3xPmr3yg,85102
GfxNGjfSKRY,758150
jZoHuMwZwTk,627670
hB07EJhMBRs,493990
