Date,Date_YYYY,Date_MM,Volume,Close
2017-01-03,2017,1,819500.0,2.96
2017-01-04,2017,1,439000.0,2.98
2017-01-05,2017,1,772500.0,3.01
2017-01-06,2017,1,893700.0,3.03
2017-01-09,2017,1,1096900.0,3.03
2017-01-10,2017,1,2273200.0,3.06
2017-01-11,2017,1,1051500.0,3.06
2017-01-12,2017,1,1231700.0,3.06
2017-01-13,2017,1,614200.0,3.09
2017-01-16,2017,1,541700.0,3.07
2017-01-17,2017,1,218800.0,3.06
2017-01-18,2017,1,881800.0,3.06
2017-01-19,2017,1,177900.0,3.07
2017-01-20,2017,1,373800.0,3.08
2017-01-23,2017,1,665500.0,3.08
2017-01-24,2017,1,580900.0,3.09
2017-01-25,2017,1,548900.0,3.1
2017-01-26,2017,1,672400.0,3.12
2017-01-27,2017,1,447800.0,3.12
2017-01-31,2017,1,791000.0,3.11
2017-02-01,2017,2,577400.0,3.13
2017-02-02,2017,2,370400.0,3.05
2017-02-03,2017,2,639900.0,3.05
2017-02-06,2017,2,592200.0,3.06
2017-02-07,2017,2,209700.0,3.08
2017-02-08,2017,2,166300.0,3.08
2017-02-09,2017,2,97400.0,3.08
2017-02-10,2017,2,530400.0,3.12
2017-02-13,2017,2,395900.0,3.12
2017-02-14,2017,2,1070400.0,3.08
2017-02-15,2017,2,339800.0,3.1
2017-02-16,2017,2,286100.0,3.1
2017-02-17,2017,2,537400.0,3.12
2017-02-20,2017,2,396700.0,3.11
2017-02-21,2017,2,152300.0,3.11
2017-02-22,2017,2,891600.0,3.14
2017-02-23,2017,2,494500.0,3.14
2017-02-24,2017,2,1077400.0,3.13
2017-02-27,2017,2,514400.0,3.12
2017-02-28,2017,2,131900.0,3.1
2017-03-01,2017,3,341900.0,3.13
2017-03-02,2017,3,18136700.0,3.14
2017-03-03,2017,3,241000.0,3.12
2017-03-06,2017,3,364700.0,3.13
2017-03-07,2017,3,100100.0,3.14
2017-03-08,2017,3,637500.0,3.15
2017-03-09,2017,3,158000.0,3.13
2017-03-10,2017,3,1148000.0,3.13
2017-03-13,2017,3,303900.0,3.16
2017-03-14,2017,3,416900.0,3.15
2017-03-15,2017,3,1146300.0,3.15
2017-03-16,2017,3,873800.0,3.18
2017-03-17,2017,3,809800.0,3.19
2017-03-20,2017,3,696100.0,3.17
2017-03-21,2017,3,185200.0,3.18
2017-03-22,2017,3,1378100.0,3.12
2017-03-23,2017,3,346500.0,3.14
2017-03-24,2017,3,628300.0,3.16
2017-03-27,2017,3,446800.0,3.14
2017-03-28,2017,3,84800.0,3.16
2017-03-29,2017,3,568800.0,3.2
2017-03-30,2017,3,524700.0,3.19
2017-03-31,2017,3,210100.0,3.19
2017-04-03,2017,4,100900.0,3.2
2017-04-04,2017,4,187900.0,3.19
2017-04-05,2017,4,512300.0,3.19
2017-04-06,2017,4,384600.0,3.18
2017-04-07,2017,4,197700.0,3.18
2017-04-10,2017,4,238300.0,3.2
2017-04-11,2017,4,439000.0,3.19
2017-04-12,2017,4,752100.0,3.2
2017-04-13,2017,4,347800.0,3.17
2017-04-17,2017,4,146800.0,3.16
2017-04-18,2017,4,806800.0,3.16
2017-04-19,2017,4,302700.0,3.14
2017-04-20,2017,4,353500.0,3.15
2017-04-21,2017,4,122700.0,3.16
2017-04-24,2017,4,500100.0,3.15
2017-04-25,2017,4,384800.0,3.18
2017-04-26,2017,4,891800.0,3.19
2017-04-27,2017,4,738000.0,3.19
2017-04-28,2017,4,146500.0,3.2
2018-01-02,2018,1,129700.0,3.48
2018-01-03,2018,1,311800.0,3.52
2018-01-04,2018,1,295800.0,3.54
2018-01-05,2018,1,189900.0,3.54
2018-01-08,2018,1,356200.0,3.56
2018-01-09,2018,1,329100.0,3.57
2018-01-10,2018,1,218200.0,3.57
2018-01-11,2018,1,117000.0,3.57
2018-01-12,2018,1,264700.0,3.57
2018-01-15,2018,1,252700.0,3.58
2018-01-16,2018,1,607100.0,3.6
2018-01-17,2018,1,133400.0,3.59
2018-01-18,2018,1,505100.0,3.58
2018-01-19,2018,1,196000.0,3.6
2018-01-22,2018,1,243000.0,3.6
2018-01-23,2018,1,106800.0,3.63
2018-01-24,2018,1,758000.0,3.66
2018-01-25,2018,1,323700.0,3.62
2018-01-26,2018,1,284700.0,3.62
2018-01-29,2018,1,619300.0,3.64
2018-01-30,2018,1,484100.0,3.62
2018-01-31,2018,1,885000.0,3.58
2018-02-01,2018,2,356000.0,3.54
2018-02-02,2018,2,1906400.0,3.53
2018-02-05,2018,2,947000.0,3.48
2018-02-06,2018,2,1887400.0,3.42
2018-02-07,2018,2,1696400.0,3.4
2018-02-08,2018,2,423300.0,3.43
2018-02-09,2018,2,694100.0,3.39
2018-02-12,2018,2,420400.0,3.4
2018-02-13,2018,2,575200.0,3.41
2018-02-14,2018,2,243500.0,3.41
2018-02-15,2018,2,1336400.0,3.46
2018-02-19,2018,2,469300.0,3.48
2018-02-20,2018,2,206200.0,3.48
2018-02-21,2018,2,188300.0,3.52
2018-02-22,2018,2,192700.0,3.49
2018-02-23,2018,2,469400.0,3.52
2018-02-26,2018,2,202300.0,3.55
2018-02-27,2018,2,270200.0,3.54
2018-02-28,2018,2,392600.0,3.52
