date,item,val
2017-01-03,Close,2.96
2017-01-03,Volume,819500.0
2017-01-04,Close,2.98
2017-01-04,Volume,439000.0
2017-01-05,Close,3.01
2017-01-05,Volume,772500.0
2017-01-06,Close,3.03
2017-01-06,Volume,893700.0
2017-01-09,Close,3.03
2017-01-09,Volume,1096900.0
2017-01-10,Close,3.06
2017-01-10,Volume,2273200.0
2017-01-11,Close,3.06
2017-01-11,Volume,1051500.0
2017-01-12,Close,3.06
2017-01-12,Volume,1231700.0
2017-01-13,Close,3.09
2017-01-13,Volume,614200.0
2017-01-16,Close,3.07
2017-01-16,Volume,541700.0
2017-01-17,Close,3.06
2017-01-17,Volume,218800.0
2017-01-18,Close,3.06
2017-01-18,Volume,881800.0
2017-01-19,Close,3.07
2017-01-19,Volume,177900.0
2017-01-20,Close,3.08
2017-01-20,Volume,373800.0
2017-01-23,Close,3.08
2017-01-23,Volume,665500.0
2017-01-24,Close,3.09
2017-01-24,Volume,580900.0
2017-01-25,Close,3.1
2017-01-25,Volume,548900.0
2017-01-26,Close,3.12
2017-01-26,Volume,672400.0
2017-01-27,Close,3.12
2017-01-27,Volume,447800.0
2017-01-31,Close,3.11
2017-01-31,Volume,791000.0
2017-02-01,Close,3.13
2017-02-01,Volume,577400.0
2017-02-02,Close,3.05
2017-02-02,Volume,370400.0
2017-02-03,Close,3.05
2017-02-03,Volume,639900.0
2017-02-06,Close,3.06
2017-02-06,Volume,592200.0
2017-02-07,Close,3.08
2017-02-07,Volume,209700.0
2017-02-08,Close,3.08
2017-02-08,Volume,166300.0
2017-02-09,Close,3.08
2017-02-09,Volume,97400.0
2017-02-10,Close,3.12
2017-02-10,Volume,530400.0
2017-02-13,Close,3.12
2017-02-13,Volume,395900.0
2017-02-14,Close,3.08
2017-02-14,Volume,1070400.0
2017-02-15,Close,3.1
2017-02-15,Volume,339800.0
2017-02-16,Close,3.1
2017-02-16,Volume,286100.0
2017-02-17,Close,3.12
2017-02-17,Volume,537400.0
2017-02-20,Close,3.11
2017-02-20,Volume,396700.0
2017-02-21,Close,3.11
2017-02-21,Volume,152300.0
2017-02-22,Close,3.14
2017-02-22,Volume,891600.0
2017-02-23,Close,3.14
2017-02-23,Volume,494500.0
2017-02-24,Close,3.13
2017-02-24,Volume,1077400.0
2017-02-27,Close,3.12
2017-02-27,Volume,514400.0
2017-02-28,Close,3.1
2017-02-28,Volume,131900.0
2017-03-01,Close,3.13
2017-03-01,Volume,341900.0
2017-03-02,Close,3.14
2017-03-02,Volume,18136700.0
2017-03-03,Close,3.12
2017-03-03,Volume,241000.0
2017-03-06,Close,3.13
2017-03-06,Volume,364700.0
2017-03-07,Close,3.14
2017-03-07,Volume,100100.0
2017-03-08,Close,3.15
2017-03-08,Volume,637500.0
2017-03-09,Close,3.13
2017-03-09,Volume,158000.0
2017-03-10,Close,3.13
2017-03-10,Volume,1148000.0
2017-03-13,Close,3.16
2017-03-13,Volume,303900.0
2017-03-14,Close,3.15
2017-03-14,Volume,416900.0
2017-03-15,Close,3.15
2017-03-15,Volume,1146300.0
2017-03-16,Close,3.18
2017-03-16,Volume,873800.0
2017-03-17,Close,3.19
2017-03-17,Volume,809800.0
2017-03-20,Close,3.17
2017-03-20,Volume,696100.0
2017-03-21,Close,3.18
2017-03-21,Volume,185200.0
2017-03-22,Close,3.12
2017-03-22,Volume,1378100.0
2017-03-23,Close,3.14
2017-03-23,Volume,346500.0
2017-03-24,Close,3.16
2017-03-24,Volume,628300.0
2017-03-27,Close,3.14
2017-03-27,Volume,446800.0
2017-03-28,Close,3.16
2017-03-28,Volume,84800.0
2017-03-29,Close,3.2
2017-03-29,Volume,568800.0
2017-03-30,Close,3.19
2017-03-30,Volume,524700.0
2017-03-31,Close,3.19
2017-03-31,Volume,210100.0
2017-04-03,Close,3.2
2017-04-03,Volume,100900.0
2017-04-04,Close,3.19
2017-04-04,Volume,187900.0
2017-04-05,Close,3.19
2017-04-05,Volume,512300.0
2017-04-06,Close,3.18
2017-04-06,Volume,384600.0
2017-04-07,Close,3.18
2017-04-07,Volume,197700.0
2017-04-10,Close,3.2
2017-04-10,Volume,238300.0
2017-04-11,Close,3.19
2017-04-11,Volume,439000.0
2017-04-12,Close,3.2
2017-04-12,Volume,752100.0
2017-04-13,Close,3.17
2017-04-13,Volume,347800.0
2017-04-17,Close,3.16
2017-04-17,Volume,146800.0
2017-04-18,Close,3.16
2017-04-18,Volume,806800.0
2017-04-19,Close,3.14
2017-04-19,Volume,302700.0
2017-04-20,Close,3.15
2017-04-20,Volume,353500.0
2017-04-21,Close,3.16
2017-04-21,Volume,122700.0
2017-04-24,Close,3.15
2017-04-24,Volume,500100.0
2017-04-25,Close,3.18
2017-04-25,Volume,384800.0
2017-04-26,Close,3.19
2017-04-26,Volume,891800.0
2017-04-27,Close,3.19
2017-04-27,Volume,738000.0
2017-04-28,Close,3.2
2017-04-28,Volume,146500.0
2018-01-02,Close,3.48
2018-01-02,Volume,129700.0
2018-01-03,Close,3.52
2018-01-03,Volume,311800.0
2018-01-04,Close,3.54
2018-01-04,Volume,295800.0
2018-01-05,Close,3.54
2018-01-05,Volume,189900.0
2018-01-08,Close,3.56
2018-01-08,Volume,356200.0
2018-01-09,Close,3.57
2018-01-09,Volume,329100.0
2018-01-10,Close,3.57
2018-01-10,Volume,218200.0
2018-01-11,Close,3.57
2018-01-11,Volume,117000.0
2018-01-12,Close,3.57
2018-01-12,Volume,264700.0
2018-01-15,Close,3.58
2018-01-15,Volume,252700.0
2018-01-16,Close,3.6
2018-01-16,Volume,607100.0
2018-01-17,Close,3.59
2018-01-17,Volume,133400.0
2018-01-18,Close,3.58
2018-01-18,Volume,505100.0
2018-01-19,Close,3.6
2018-01-19,Volume,196000.0
2018-01-22,Close,3.6
2018-01-22,Volume,243000.0
2018-01-23,Close,3.63
2018-01-23,Volume,106800.0
2018-01-24,Close,3.66
2018-01-24,Volume,758000.0
2018-01-25,Close,3.62
2018-01-25,Volume,323700.0
2018-01-26,Close,3.62
2018-01-26,Volume,284700.0
2018-01-29,Close,3.64
2018-01-29,Volume,619300.0
2018-01-30,Close,3.62
2018-01-30,Volume,484100.0
2018-01-31,Close,3.58
